,Player,Market Value (Euros),Predicted Market Value (Euros),Age,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
2127,Michael Doughty,"575,000","627,874",27,64.5,54.7,60.2,64.0,70.1,60.6,11.8
2128,Marco Modolo,"849,999","627,049",31,47.5,66.0,54.8,53.3,71.0,43.4,8.2
2129,Steve Rouiller,"625,000","626,662",30,46.0,66.7,47.7,42.7,70.9,33.9,11.8
2130,Aaron Pierre,"725,000","625,731",27,46.0,65.3,46.5,42.0,72.3,36.5,10.2
2131,Yuto Misao,"625,000","625,264",29,59.0,63.3,56.8,65.3,72.6,51.0,10.8
2132,Mario Sonnleitner,"675,000","623,635",33,49.5,67.7,56.0,50.7,70.7,42.5,13.4
2133,Jonathan Bottinelli,"1,199,999","621,631",35,61.0,67.0,68.0,64.3,54.7,43.8,8.8
2134,Carlos Robles,"824,999","621,242",28,57.0,65.3,57.3,59.7,63.1,46.9,10.2
2135,Baily Cargill,"750,000","621,005",25,57.0,64.7,53.5,62.0,60.3,38.2,9.0
2136,William Rémy,"774,999","620,931",29,62.0,62.3,58.3,65.3,69.7,43.0,10.4
2137,Ivann Botella,"750,000","620,555",21,58.0,14.7,49.3,42.0,63.6,56.1,9.6
2138,Chris Kablan,"424,999","620,092",25,60.0,65.0,53.8,58.7,66.7,47.1,8.0
2139,Cammy Smith,"599,999","619,871",25,63.0,20.7,50.8,58.0,71.4,55.6,8.8
2140,Carlos Núñez,"599,999","618,619",28,63.0,30.0,54.5,53.3,71.4,59.0,10.4
2141,Özer Özdemir,"625,000","618,557",22,60.5,63.3,53.2,58.0,67.7,43.6,9.4
2142,Stefan Haudum,"649,999","618,556",25,60.5,62.3,60.0,59.3,62.4,50.1,9.8
2143,James Gibbons,"524,999","617,601",22,59.5,59.7,58.8,57.3,72.7,37.8,8.4
2144,Alan Velasco,"900,000","616,421",18,65.5,49.3,57.8,59.7,65.6,50.0,8.8
2145,Jan Bamert,"649,999","616,361",22,49.0,63.7,49.5,48.3,65.3,33.6,8.0
2146,Viktor Tranberg,"625,000","615,740",23,47.0,64.3,47.7,52.3,60.9,33.1,8.0
2147,Şahverdi Çetin,"400,000","615,571",19,64.5,56.7,60.0,57.7,61.1,54.4,11.0
2148,Elson Hooi,"474,999","614,585",28,66.5,20.7,49.0,57.0,72.0,51.9,12.8
2149,Mukhtar Ali,"750,000","614,482",22,64.0,55.7,61.7,57.3,64.9,51.2,11.6
2150,Ashley Hunter,"750,000","612,973",24,66.5,37.0,50.8,57.0,66.7,56.5,11.8
2151,Erik Tønne,"550,000","612,862",29,64.5,58.7,61.7,63.3,72.9,55.2,12.4
2152,Yassin Ben Balla,"575,000","612,623",24,61.0,63.3,57.3,51.7,65.0,44.4,12.2
2153,Nicolás Romat,"1,299,999","612,415",32,63.0,66.0,60.2,63.7,66.9,49.0,11.2
2154,Hernán Novick,"999,999","612,389",31,64.5,32.0,58.5,67.0,64.3,63.2,12.6
2155,Bilal Benkhedim,"750,000","612,076",19,65.5,43.0,52.5,60.3,64.6,55.9,9.4
2156,Kike Hermoso,"524,999","611,693",21,42.5,65.3,48.2,34.7,57.6,37.8,12.2
2157,Steffen Nkansah,"499,999","611,640",24,44.0,64.7,47.2,44.3,59.9,34.9,9.6
2158,Felix Drinkuth,"474,999","611,456",25,66.5,25.0,50.7,58.3,64.4,49.5,11.2
2159,Peter Gál-Andrezly,"625,000","610,873",30,67.0,45.7,61.5,67.0,63.1,54.6,10.6
2160,Florian Loshaj,"824,999","610,599",24,66.5,51.3,58.7,60.7,69.6,53.0,11.6
2161,Enson Rodríguez,"625,000","608,452",31,61.5,46.3,65.0,54.3,69.4,60.1,11.0
2162,Raúl Osorio,"1,100,000","607,782",25,56.5,65.0,51.5,43.7,69.0,35.1,10.6
2163,Samuel Costa,"424,999","607,503",19,60.0,57.7,64.0,55.3,62.7,48.1,9.6
2164,George Boyd,"524,999","607,222",34,69.5,63.3,62.8,66.3,61.7,66.9,10.8
2165,Cristiano,"649,999","607,192",29,18.0,11.3,32.7,21.0,42.7,20.8,66.0
2166,Nicolás Avellaneda,"575,000","605,606",27,21.0,15.0,33.3,21.0,47.0,20.0,65.0
2167,Tòfol Montiel,"800,000","604,260",20,68.0,41.3,51.3,57.3,61.4,54.5,12.0
2168,Hernán López,"599,999","603,817",20,67.0,36.7,51.5,54.3,65.9,52.2,10.4
2169,João Queirós,"800,000","602,273",22,42.0,64.0,51.7,51.3,57.3,40.4,6.6
2170,Michell Ramos,"700,000","601,069",22,63.0,13.0,44.8,39.7,64.9,55.5,9.2
2171,Nando García,"800,000","601,015",26,65.0,39.7,57.0,63.3,65.4,57.8,10.6
2172,Joseph Gelhardt,"599,999","600,708",18,63.5,20.3,47.2,51.7,62.3,55.8,9.4
2173,Kazushi Mitsuhira,"474,999","600,371",32,65.0,26.7,57.5,59.7,64.6,61.0,8.0
2174,Matías Vera,"599,999","599,754",22,66.0,57.7,58.0,55.7,73.0,43.8,7.2
2175,Simen Kind Mikalsen,"550,000","598,371",27,60.5,62.3,60.7,58.0,71.6,55.9,8.6
2176,Liam Grimshaw,"524,999","598,298",25,59.5,63.7,54.7,60.3,67.3,41.5,11.8
2177,Nicolás Thaller,"774,999","598,021",22,48.0,64.3,50.3,50.3,57.9,38.8,8.2
2178,Abraham,"299,999","597,715",34,65.5,62.3,67.5,61.0,70.9,57.4,10.2
2179,Fatih Kaya,"800,000","597,485",20,65.5,22.0,47.7,40.7,66.0,51.2,11.8
2180,Lucas Hägg Johansson,"524,999","597,440",26,20.0,18.3,30.3,23.3,37.0,19.9,65.0
2181,James Aguirre,"575,000","597,370",28,11.5,21.3,29.8,19.3,42.1,14.5,65.0
2182,Jeff Attinella,"524,999","595,494",31,20.0,17.3,38.7,29.0,48.3,23.2,66.0
2183,Dani Fernández,"450,000","595,266",23,62.0,62.7,55.8,58.3,57.1,40.1,9.8
2184,Dennis Smarsch,"575,000","595,222",21,12.5,11.0,23.0,16.7,37.1,15.1,64.2
2185,Elias Abouchabaka,"499,999","595,209",20,63.5,28.0,50.3,56.7,61.7,56.1,10.6
2186,Ryohei Michibuchi,"649,999","595,169",26,65.5,41.3,57.3,60.0,69.9,56.9,9.8
2187,Rui Pires,"849,999","593,615",22,63.0,61.3,56.2,60.0,67.3,50.9,12.0
2188,Denis Haruț,"1,100,000","593,103",21,54.5,62.7,51.3,54.0,73.7,45.2,8.8
2189,Ryan Jackson,"474,999","593,036",30,60.0,59.3,53.8,57.7,84.6,50.2,12.2
2190,Kristopher da Graca,"725,000","592,890",22,45.5,65.0,46.0,46.7,58.3,36.8,12.6
2191,Tom Flanagan,"774,999","591,954",28,57.5,65.7,52.3,56.7,67.6,35.4,10.0
2192,Janik Bachmann,"524,999","591,896",24,58.5,62.7,58.7,56.3,59.7,45.6,10.6
2193,Pierre Kanstrup,"849,999","591,315",31,58.0,65.0,61.8,58.7,70.1,51.1,12.0
2194,Manuel Roffo,"824,999","590,825",20,13.0,14.0,27.5,22.0,37.0,16.9,63.6
2195,Paul Gallagher,"1,199,999","589,299",36,68.5,58.0,65.3,74.7,58.0,69.8,7.6
2196,Anthony Caceres,"524,999","588,768",27,63.0,58.3,61.5,63.3,69.4,56.5,11.0
2197,Regan Poole,"750,000","588,464",22,58.0,62.3,54.2,59.0,69.4,35.8,12.6
2198,Rafa Tresaco,"524,999","588,407",20,60.5,12.7,48.3,40.0,63.3,53.8,9.2
2199,Yukitoshi Ito,"575,000","587,650",27,57.5,64.7,53.3,64.7,66.4,36.1,10.2
2200,Abou Ouattara,"975,000","587,332",20,66.0,32.3,51.7,53.0,67.7,49.8,9.6
2201,Tom Aldred,"675,000","587,254",29,39.0,64.3,51.3,39.3,57.3,33.6,10.4
2202,Fitim Azemi,"575,000","587,183",28,62.5,31.3,57.2,53.7,74.4,57.0,10.0
2203,Ollie Palmer,"474,999","586,421",28,60.0,22.0,57.0,41.0,63.1,53.0,12.4
2204,Keanan Bennetts,"474,999","586,213",21,67.0,40.7,46.3,56.7,63.1,58.9,9.2
2205,Nathan Holland,"625,000","585,339",22,65.0,23.7,51.8,54.3,66.1,48.6,8.8
2206,Carlos Blanco,"675,000","585,338",24,53.5,65.3,51.5,53.0,50.3,46.8,4.8
2207,Alexander Winkler,"675,000","585,084",28,37.0,65.0,49.2,52.7,60.9,38.9,11.6
2208,Maicol Balanta,"750,000","585,012",30,67.0,36.3,54.3,61.3,71.1,53.1,11.2
2209,Sebastián Hernández,"1,400,000","584,603",33,71.0,53.0,59.2,66.7,64.7,61.9,10.2
2210,Edinson Chávez,"499,999","582,201",26,61.0,63.0,59.0,50.3,68.9,37.6,9.8
2211,Yojiro Takahagi,"1,799,999","581,901",34,66.5,62.0,67.2,66.3,55.9,59.6,13.8
2212,Marc Wachs,"524,999","580,448",25,63.0,57.7,59.2,63.3,71.1,47.8,9.8
2213,Yannis Letard,"924,999","580,179",22,44.0,63.0,48.3,37.7,69.7,31.0,11.4
2214,Miguel Santos,"350,000","579,976",25,20.0,12.7,29.5,21.3,34.1,19.9,65.0
2215,Gennaro Acampora,"550,000","579,111",26,66.0,52.0,58.7,62.3,67.0,57.0,12.4
2216,Ezequiel Busquets,"849,999","578,642",19,56.0,57.0,54.2,60.0,74.6,42.2,9.8
2217,Jonas Brix-Damborg,"424,999","578,374",34,52.5,66.3,66.0,61.3,63.9,51.4,7.8
2218,Jorn Brondeel,"599,999","578,173",27,17.0,15.3,27.5,20.0,45.6,20.9,64.8
2219,Daniel Febles,"800,000","578,057",29,60.0,25.0,59.3,44.3,62.4,53.1,10.6
2220,Daniel Moreno,"675,000","577,566",25,62.0,17.3,51.5,51.0,80.1,52.8,10.8
2221,Fernando Benítez,"450,000","577,229",21,63.0,22.0,45.5,60.7,60.3,42.1,10.4
2222,Bruno Soares,"725,000","577,101",32,50.5,66.0,54.0,43.3,56.9,34.2,10.2
2223,Jason Lowe,"499,999","577,088",29,59.5,62.7,62.5,61.7,63.4,53.0,10.2
2224,Phil Ofosu-Ayeh,"324,999","576,281",28,64.0,63.0,57.8,55.3,72.1,47.5,11.2
2225,Matías Pato,"324,999","576,023",28,63.5,18.3,47.3,44.0,66.0,57.1,10.4
2226,Andrés Flores,"649,999","573,153",30,64.5,62.7,59.0,65.0,67.3,56.6,10.0
2227,Simone Calvano,"625,000","572,352",27,66.0,57.7,55.5,67.3,62.3,50.6,9.8
2228,Braian Álvarez,"675,000","572,182",23,66.0,43.3,56.3,58.7,67.9,53.8,9.2
2229,John Brayford,"400,000","571,855",32,58.5,64.3,61.5,64.3,69.7,44.8,13.2
2230,Yanis Begraoui,"350,000","571,644",19,60.5,17.0,46.3,40.3,68.1,53.2,9.8
2231,Kyle Vassell,"774,999","571,525",27,63.0,31.7,50.3,46.7,70.0,58.9,8.0
2232,Oliver Hein,"375,000","570,321",30,66.0,60.7,59.5,61.7,71.7,58.2,9.8
2233,Aristote Nsiala,"675,000","570,030",28,40.5,63.0,53.7,46.3,72.6,42.5,11.0
2234,Marco Aratore,"550,000","569,537",29,67.0,44.3,56.2,63.3,66.9,61.4,8.2
2235,Ryan Haynes,"499,999","569,448",24,62.0,59.3,59.3,57.3,71.4,55.5,12.2
2236,Tommy Smith,"750,000","568,580",30,49.5,64.0,59.3,56.0,65.0,36.9,12.2
2237,Joao Ortiz,"575,000","567,983",24,55.0,62.3,58.2,55.0,65.9,39.5,9.0
2238,Blati Touré,"450,000","567,386",26,64.5,54.7,62.7,59.3,61.6,48.2,9.0
2239,Carlos Lizarazo,"649,999","567,086",29,65.0,40.7,55.0,64.0,68.7,61.6,10.2
2240,Alejandro Contreras,"949,999","565,873",27,50.5,65.0,53.7,59.7,59.3,44.9,10.2
2241,Mart Ristl,"474,999","565,821",24,59.5,63.7,53.2,60.0,66.3,45.2,8.0
2242,Keisuke Saka,"450,000","563,389",25,33.0,64.3,47.0,40.7,65.9,33.4,10.4
2243,Leonardo Castro,"3,000,000","563,144",31,65.0,30.3,57.7,61.3,66.0,59.5,11.0
2244,Fabio Strauss,"550,000","562,223",26,31.5,62.7,50.0,41.0,47.7,34.1,10.8
2245,Adam Jackson,"750,000","561,913",26,52.5,64.7,50.3,45.7,61.9,32.1,10.2
2246,Salim Boukhenchouche,"649,999","561,053",28,61.5,64.3,57.8,57.7,63.6,46.9,7.4
2247,Kasper Junker,"575,000","559,413",26,63.0,21.7,47.8,46.3,72.9,55.1,10.6
2248,Nick Freeman,"599,999","558,254",24,65.0,49.3,57.0,62.0,71.4,52.8,10.8
2249,Jakub Bartkowski,"474,999","558,228",28,58.0,62.3,57.8,62.3,71.3,38.2,13.2
2250,Joao Rojas,"1,100,000","558,213",23,62.5,58.0,58.2,60.0,71.9,52.1,10.4
2251,Jesús Fortes,"625,000","558,162",23,61.0,61.7,58.0,50.0,64.7,37.6,8.8
2252,Yamato Machida,"524,999","557,531",30,64.5,28.7,51.5,59.0,76.4,52.5,9.6
2253,Duncan Watmore,"900,000","557,005",26,63.5,38.7,52.3,60.0,72.9,58.6,11.6
2254,Jonathan Mitchell,"474,999","556,207",25,29.0,13.0,42.5,35.0,55.4,21.6,62.8
2255,Jonathan Meier,"499,999","556,044",20,52.0,63.3,53.2,48.0,64.0,41.2,11.0
2256,Lasse Sørensen,"599,999","555,944",20,59.0,61.7,57.5,63.7,60.4,51.0,11.0
2257,Daniel Georgievski,"400,000","555,780",32,61.5,61.3,66.2,61.3,70.7,52.0,12.4
2258,George Ganea,"774,999","555,722",21,61.5,32.3,55.8,55.7,71.0,54.2,7.8
2259,Ugarte,"575,000","555,241",25,43.5,63.7,50.3,44.0,54.7,38.4,8.8
2260,Ayoub Abdellaoui,"249,999","555,228",27,50.0,64.3,53.2,52.3,63.4,37.6,13.2
2261,Ben Reeves,"375,000","554,671",28,65.0,55.7,51.2,63.0,76.6,54.5,10.2
2262,Aydın Karabulut,"675,000","554,535",32,69.0,43.0,59.5,59.7,69.1,57.0,10.2
2263,Łukasz Burliga,"474,999","554,442",32,59.5,62.7,65.7,60.7,72.6,52.4,9.2
2264,Alex Pattison,"499,999","553,590",23,63.5,58.0,59.0,58.3,70.0,47.6,9.6
2265,Ali Şaşal Vural,"550,000","553,140",30,19.0,15.7,36.5,22.0,47.6,22.6,65.4
2266,Adrián Martínez,"1,199,999","553,039",28,67.0,28.0,56.0,51.0,68.7,50.5,12.8
2267,Jordan Lyden,"450,000","551,565",24,64.0,60.7,57.5,59.0,60.9,51.4,10.6
2268,Sean McLoughlin,"675,000","551,327",23,55.5,62.7,54.7,54.3,58.7,35.0,8.4
2269,Richard Celis,"774,999","551,060",24,68.0,43.3,51.7,57.3,64.4,55.4,11.8
2270,Nicandro Breeveld,"499,999","550,676",33,65.0,63.0,62.0,61.3,73.7,60.9,11.6
2271,Juande,"474,999","550,331",21,45.0,64.3,47.2,43.3,58.4,37.6,8.2
2272,Etienne Vaessen,"649,999","550,124",25,16.5,10.0,28.3,23.0,39.9,16.2,64.6
2273,Roel Janssen,"375,000","549,624",30,59.5,64.3,58.0,62.7,62.0,42.6,10.0
2274,Nieto,"450,000","549,422",22,59.5,19.7,45.8,42.7,58.1,57.9,9.4
2275,Hélder Baldé,"700,000","548,947",22,44.5,63.0,52.8,46.3,48.0,42.6,10.6
2276,Kevin Gutiérrez,"474,999","548,344",23,61.5,58.7,58.3,61.0,70.7,51.6,11.6
2277,Okan Kocuk,"550,000","547,765",25,10.5,8.7,23.3,18.0,36.7,16.5,65.0
2278,Filip Ugrinic,"625,000","547,649",21,54.5,62.0,57.5,62.0,65.3,46.5,10.8
2279,Jevani Brown,"725,000","547,216",25,65.5,43.7,58.0,57.0,71.0,54.5,10.0
2280,Jaylin Lindsey,"599,999","547,133",20,60.5,59.3,52.5,59.7,70.1,43.2,8.2
2281,Fredrik Nordkvelle,"375,000","546,874",34,65.5,47.0,66.5,64.3,68.6,63.0,10.8
2282,Yang Liyu,"824,999","546,339",23,62.5,41.7,58.0,60.0,72.6,54.5,12.8
2283,Christian Ilić,"824,999","546,104",24,66.5,57.0,56.2,60.3,70.0,44.5,11.2
2284,Joan Mazzaco,"599,999","545,059",20,58.5,61.3,57.0,52.7,66.7,49.1,8.6
2285,Tareiq Holmes-Dennis,"499,999","544,759",24,61.0,60.3,59.0,58.0,70.4,46.4,12.2
2286,Thomas Dasquet,"450,000","544,753",26,45.5,64.7,48.7,35.7,57.4,33.2,12.0
2287,Anthony O'Connor,"575,000","544,392",27,55.5,61.7,60.8,58.7,72.1,46.5,10.6
2288,Matúš Putnocký,"400,000","543,658",35,25.5,23.7,36.7,41.7,46.4,20.6,67.8
2289,Fabian Serrarens,"375,000","543,138",29,60.0,28.0,57.3,52.0,69.9,58.8,7.4
2290,André Mesquita,"524,999","542,994",22,63.5,30.7,47.8,61.7,63.9,54.1,10.4
2291,Isma López,"524,999","542,711",30,62.5,58.7,61.8,65.7,72.9,57.4,8.6
2292,Daniel Steres,"874,999","542,457",29,49.0,64.3,53.8,60.3,61.4,34.0,11.6
2293,Ryuji Sugimoto,"524,999","542,265",27,65.0,21.0,48.0,62.0,66.7,54.2,11.0
2294,Freddy Flórez,"599,999","542,200",27,63.5,61.3,58.3,61.3,67.9,40.2,9.0
2295,Hamilton Piedra,"474,999","542,028",27,20.5,14.3,29.2,21.3,50.1,21.4,64.6
2296,Liam Polworth,"700,000","541,978",25,65.0,56.7,59.5,60.0,67.1,51.8,10.0
2297,Lars Olden Larsen,"400,000","541,756",21,62.5,28.3,46.8,51.7,66.9,56.8,10.2
2298,Emil Nielsen,"350,000","541,731",26,64.0,24.3,50.5,49.0,73.4,53.1,9.0
2299,Nicolai Næss,"599,999","541,523",27,55.5,64.0,58.8,62.0,64.0,53.8,12.6
2300,Harry Smith,"400,000","540,554",25,59.5,25.7,54.5,45.7,66.6,54.6,11.0
2301,Leroy-Jacques Mickels,"599,999","540,139",25,67.0,16.0,45.7,59.0,68.3,54.4,9.2
2302,Marvin Ajani,"900,000","540,089",26,62.5,53.7,61.8,62.0,72.3,54.6,12.0
2303,Vangelis Theocharis,"424,999","539,908",22,62.5,59.7,59.2,57.0,60.4,41.6,12.6
2304,Joris Kramer,"649,999","539,315",24,51.5,64.0,52.0,41.3,59.4,41.4,8.8
2305,Moustapha Seck,"375,000","539,062",24,55.0,63.0,57.7,60.3,61.4,47.2,10.2
2306,Marc Lorenz,"725,000","538,644",32,64.0,49.0,61.5,69.7,70.4,60.2,8.8
2307,Jannis Kübler,"649,999","538,051",21,62.0,61.3,53.8,62.3,63.7,51.9,10.0
2308,Álex Cobo,"625,000","537,704",25,16.0,11.3,31.3,27.7,51.7,22.6,64.0
2309,Marc Endres,"524,999","537,593",29,36.5,61.7,58.3,48.0,56.9,29.9,11.0
2310,Abdullah Durak,"424,999","537,577",33,68.0,59.7,64.0,63.7,69.3,56.6,10.4
2311,Devante Cole,"725,000","537,411",25,62.0,20.0,48.0,46.0,74.3,54.2,10.0
2312,Rollin Menayese,"450,000","537,367",22,39.0,62.0,48.7,42.7,69.6,32.5,10.6
2313,Grégoire Amiot,"499,999","537,188",25,39.0,62.3,56.2,47.7,49.7,36.1,13.8
2314,Milan Đurić,"575,000","535,456",32,64.5,57.3,63.8,59.3,68.9,62.5,11.2
2315,Carlos Caraza,"240,000","534,480",34,65.0,64.0,58.2,69.7,72.4,59.9,7.2
2316,Tom Eastman,"550,000","534,413",28,55.5,65.0,49.7,52.7,59.7,36.9,14.4
2317,Jake Reeves,"450,000","534,314",27,65.0,53.7,57.2,61.3,76.0,51.4,11.4
2318,Oscar Ribera,"800,000","534,159",28,59.5,65.3,49.0,64.7,71.0,37.8,10.4
2319,Ross Draper,"275,000","533,468",31,56.5,59.7,64.7,53.3,63.0,54.4,11.6
2320,Jaden Brown,"750,000","532,897",21,58.5,62.7,53.5,50.3,62.6,37.5,9.6
2321,Michael Harriman,"450,000","532,696",27,60.5,61.3,56.8,58.7,75.9,49.1,9.8
2322,Alexis Messidoro,"599,999","532,648",23,62.5,33.7,52.0,58.7,70.9,54.9,10.0
2323,Danijel Zagorac,"474,999","532,500",33,17.0,13.0,32.2,19.7,38.3,16.2,66.8
2324,Yuri Senesi,"424,999","532,158",23,65.5,33.0,48.7,55.0,63.9,55.5,10.8
2325,Jonatan Álvez,"800,000","532,006",32,62.5,21.3,60.3,46.0,68.9,55.1,12.4
2326,Jeppe Brinch,"424,999","531,866",25,50.0,63.3,51.0,53.7,69.6,36.8,10.4
2327,Nicolás Roa,"424,999","531,514",26,62.0,57.7,58.2,65.7,68.6,45.6,10.8
2328,Efe Ambrose,"849,999","530,656",31,62.5,65.7,58.3,55.0,64.6,47.8,12.8
2329,Marcel Seegert,"750,000","528,902",26,54.0,64.7,51.8,50.0,68.9,43.5,9.4
2330,Rohan Ince,"275,000","528,452",27,59.5,58.7,60.7,49.0,58.1,48.8,13.2
2331,Simon Scherder,"474,999","528,244",27,40.5,62.7,54.2,47.7,57.7,38.1,10.4
2332,Dominic Maroh,"424,999","527,243",33,45.5,65.7,56.2,45.0,55.9,41.1,8.4
2333,Jonathan Marulanda,"450,000","527,238",24,55.5,63.0,53.5,53.3,66.4,36.5,10.0
2334,Malik Asselah,"1,100,000","527,182",34,20.0,11.7,32.7,25.0,41.3,18.2,67.8
2335,Taulant Seferi,"190,000","527,164",23,62.5,23.0,50.2,37.0,65.1,50.5,11.4
2336,Ahmet Muhamedbegovic,"400,000","527,008",21,35.0,63.3,47.2,46.7,55.0,32.1,9.6
2337,Ahmed Hassan Asiri,"575,000","526,695",28,38.0,63.3,50.8,45.0,69.7,35.0,11.0
2338,Othman Al Hajj,"324,999","526,676",26,57.0,17.7,52.2,41.0,63.3,55.9,11.2
2339,Bernie Ibini,"575,000","526,468",27,66.5,40.3,54.2,58.7,63.7,58.1,12.6
2340,Mark Byrne,"275,000","525,670",31,57.0,59.7,61.7,55.3,83.9,49.6,9.4
2341,Hamad Al Juhayyim,"230,000","525,126",32,62.0,30.7,59.5,52.7,61.3,59.6,10.2
2342,David Worrall,"625,000","525,068",30,64.0,51.0,54.7,61.7,80.3,57.1,12.0
2343,Emanuele Zuelli,"474,999","524,210",18,60.5,59.3,55.8,61.3,64.4,60.1,8.8
2344,Alexandre Phliponeau,"625,000","523,954",20,60.5,61.3,55.2,61.0,61.3,50.6,8.8
2345,Niklas Sandberg,"499,999","523,503",25,64.5,50.3,57.0,64.0,66.3,57.0,10.6
2346,Arild Østbø,"550,000","523,285",29,10.0,15.7,39.2,16.3,42.9,15.4,64.0
2347,Philipp Köhn,"450,000","522,479",22,15.5,13.0,28.7,20.3,35.1,14.8,63.2
2348,Filippo Melegoni,"649,999","522,377",21,62.5,57.7,56.5,65.0,58.1,55.1,9.0
2349,João Virgínia,"575,000","522,014",20,12.0,11.0,32.8,25.0,40.0,14.9,61.8
2350,Eric Smith,"700,000","521,944",23,62.5,56.0,60.5,60.7,64.7,51.5,11.0
2351,Stephan Drăghici,"750,000","521,203",22,64.0,51.3,57.8,61.7,68.3,50.4,9.4
2352,Lee Novak,"424,999","520,665",31,59.0,35.0,60.3,55.3,67.3,62.9,10.0
2353,Masaki Iida,"424,999","520,610",34,36.5,67.3,53.2,43.7,51.1,42.1,10.4
2354,Michael Schultz,"575,000","520,460",27,49.0,64.7,47.0,44.0,52.9,32.2,9.2
2355,Justin Möbius,"450,000","520,192",23,66.0,29.3,46.0,55.3,66.7,52.2,8.8
2356,David Stockdale,"400,000","519,775",34,17.5,19.3,38.7,34.3,37.0,19.0,67.6
2357,Ollie Banks,"474,999","518,571",27,60.5,53.3,62.7,63.0,63.4,61.0,13.0
2358,Ryan Flynn,"499,999","516,894",32,63.5,59.0,64.7,65.7,66.1,59.9,11.8
2359,Tim Hoogland,"649,999","516,507",35,62.5,68.0,64.2,64.0,60.1,61.5,12.0
2360,David Niepsuj,"524,999","516,214",25,59.0,63.0,54.7,56.0,71.1,49.1,8.8
2361,Simon Handle,"575,000","515,964",27,66.5,44.3,55.2,54.7,75.7,54.4,11.2
2362,Guillamón,"750,000","515,910",20,52.5,63.3,50.7,51.3,56.9,36.9,12.6
2363,Moritz Heinrich,"499,999","515,725",23,65.5,30.0,46.5,55.0,68.6,51.2,10.6
2364,Salvador Ichazo,"375,000","514,031",28,15.0,13.0,32.0,22.7,52.0,21.9,64.2
2365,Saeed Al Rubaie,"550,000","512,878",26,40.5,63.3,48.7,48.7,59.7,31.0,8.0
2366,Mirko Boland,"424,999","512,798",33,63.5,61.0,64.2,64.3,72.7,60.1,12.0
2367,Baba Fernandes,"649,999","511,902",20,42.0,64.0,46.8,41.3,57.1,36.6,13.2
2368,Luca Plogmann,"824,999","511,288",20,17.5,13.7,30.5,20.3,46.7,18.0,62.6
2369,John O'Sullivan,"524,999","510,753",26,64.0,49.0,63.5,61.3,67.3,48.8,10.6
2370,Dogucan Haspolat,"524,999","510,676",20,64.0,49.7,57.8,60.7,65.6,49.9,10.6
2371,Clemens Schoppenhauer,"474,999","510,022",28,37.5,63.7,53.7,37.0,60.4,29.0,9.8
2372,Bartosz Kwiecień,"625,000","509,845",26,54.5,60.3,62.5,54.3,68.4,47.2,12.6
2373,Roy Gelmi,"675,000","509,000",25,39.5,62.0,56.2,56.3,71.0,45.1,11.6
2374,Jorge Corrales,"375,000","508,868",29,61.5,62.7,59.2,60.0,67.4,47.0,10.8
2375,Kevin Mercado,"575,000","508,577",25,65.0,21.3,44.0,55.3,73.7,54.9,10.0
2376,Christian Burgess,"675,000","508,488",28,52.0,64.7,52.0,48.7,62.3,33.4,8.6
2377,Zé Uilton,"575,000","508,172",28,67.5,20.7,46.8,56.7,66.9,51.4,7.4
2378,Edson Aubert,"1,500,000","508,123",31,63.5,63.7,59.7,56.7,62.4,40.0,11.2
2379,Ahmed Ildız,"400,000","507,577",23,62.0,61.3,56.0,58.3,63.9,49.4,11.8
2380,David Wheater,"424,999","507,308",33,44.5,64.7,58.5,45.0,47.6,44.9,11.6
2381,Tom Lowery,"675,000","505,858",22,63.5,52.7,57.3,60.3,70.7,51.0,10.2
2382,Ron-Thorben Hoffmann,"575,000","505,609",21,11.5,12.3,26.3,21.7,30.4,15.4,63.4
2383,Nicky Law,"575,000","505,566",32,65.5,44.7,62.3,60.7,74.0,57.5,14.4
2384,Jesper Bøge,"524,999","504,993",30,58.5,63.3,58.7,60.7,68.6,38.6,12.0
2385,Bendjaloud Youssouf,"599,999","504,859",26,58.0,61.3,58.3,60.0,69.3,43.9,11.2
2386,Iñaki Álvarez,"474,999","504,804",23,8.5,11.3,21.3,19.0,36.4,15.5,64.0
2387,Zain Westbrooke,"649,999","503,930",23,59.5,54.0,58.8,65.7,61.6,62.0,11.0
2388,Andrea Paolucci,"575,000","503,285",33,67.0,56.7,60.7,67.0,71.3,61.5,10.4
2389,Anton Donkor,"400,000","502,130",22,62.0,31.0,46.8,52.7,71.0,56.6,10.0
2390,Jon Kempin,"375,000","501,855",27,16.0,11.7,30.3,28.3,49.6,18.9,64.0
2391,Tsukasa Umesaki,"424,999","501,694",33,68.0,41.0,56.3,63.3,65.7,63.1,10.6
2392,Terence Baya,"499,999","501,650",22,57.5,61.7,53.7,57.0,71.0,47.9,9.6
2393,Kike Pérez,"750,000","501,079",23,64.0,53.7,58.5,61.7,62.7,53.8,12.2
2394,Nicolas Bürgy,"524,999","500,712",25,47.0,64.3,45.8,46.7,58.3,35.5,10.4
2395,Alessio Vita,"700,000","500,586",27,64.5,33.7,51.0,61.0,68.4,53.4,11.4
2396,Jon-Helge Tveita,"400,000","500,190",28,60.5,61.7,60.2,57.0,65.0,51.9,10.0
2397,Enrique Borja,"725,000","499,785",25,58.0,16.7,47.5,40.3,64.0,56.9,11.2
2398,Bartosz Bida,"625,000","499,749",19,62.0,16.3,49.3,51.7,67.3,48.9,10.2
